ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,hour,month,day_name,year,Crime_Severity_Score,Crime_Type_Code,KMeans_Cluster,DBSCAN_Cluster,HC_Cluster,Temporal_cluster,TSNE_1,TSNE_2
14018928,JJ477018,2025-11-04 00:00:00,069XX N WAYNE AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,0,0,2431,24,49,1,07,1165891.0,1945855.0,2025,11/11/2025 03:41:33 PM,42.007014318,-87.665003694,"(42.007014318, -87.665003694)",0,11,1,2025,2,15,2,-1,0,6,60.913815,-43.19519
14020403,JJ477662,2025-11-04 00:00:00,091XX S ESSEX AVE,0560,ASSAULT,SIMPLE,RESIDENCE,0,1,423,4,7,48,08A,1194425.0,1844840.0,2025,11/11/2025 03:41:33 PM,41.729167666,-87.563357811,"(41.729167666, -87.563357811)",0,11,1,2025,3,1,0,-1,1,6,49.274418,-62.88972
14018477,JJ476541,2025-11-03 23:55:00,020XX W MARQUETTE RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,1,726,7,16,67,08B,1163742.0,1860215.0,2025,11/11/2025 03:41:33 PM,41.772057129,-87.675326408,"(41.772057129, -87.675326408)",23,11,0,2025,3,2,0,-1,1,3,58.307518,-69.51888
14018488,JJ476554,2025-11-03 23:50:00,039XX W CORNELIA AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,0,0,1732,17,30,21,11,1149583.0,1922980.0,2025,11/11/2025 03:41:33 PM,41.944577489,-87.725600974,"(41.944577489, -87.725600974)",23,11,0,2025,1,8,2,-1,0,3,78.89965,-29.096764
14018753,JJ477071,2025-11-03 23:50:00,018XX W 82ND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,0,0,614,6,17,71,14,1165645.0,1850306.0,2025,11/11/2025 03:41:33 PM,41.74482529,-87.668631233,"(41.74482529, -87.668631233)",23,11,0,2025,3,5,2,-1,0,3,57.98246,-69.707054
14018426,JJ476564,2025-11-03 23:50:00,065XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,APARTMENT,0,0,312,3,20,69,08B,1180043.0,1861837.0,2025,11/11/2025 03:41:33 PM,41.776150283,-87.615522623,"(41.776150283, -87.615522623)",23,11,0,2025,3,2,2,-1,0,3,54.259033,-71.44095
14018435,JJ476525,2025-11-03 23:48:00,112XX S SPAULDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,2211,22,19,74,08B,1156367.0,1829924.0,2025,11/11/2025 03:41:33 PM,41.689085106,-87.703174031,"(41.689085106, -87.703174031)",23,11,0,2025,3,2,0,-1,1,3,58.265114,-70.25443
14018499,JJ476566,2025-11-03 23:40:00,065XX S DR MARTIN LUTHER KING JR DR,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,0,0,312,3,20,69,08B,1180043.0,1861837.0,2025,11/11/2025 03:41:33 PM,41.776150283,-87.615522623,"(41.776150283, -87.615522623)",23,11,0,2025,3,2,2,-1,0,3,54.259026,-71.44095
14018492,JJ476548,2025-11-03 23:40:00,004XX W FULLERTON PKWY,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,1935,19,43,7,07,1172701.0,1916232.0,2025,11/11/2025 03:41:33 PM,41.925579499,-87.64082962,"(41.925579499, -87.64082962)",23,11,0,2025,2,15,2,-1,0,3,68.25647,-32.069553
14018396,JJ476523,2025-11-03 23:39:00,018XX S RIDGEWAY AVE,2027,NARCOTICS,POSSESS - CRACK,STREET,1,0,1014,10,24,29,18,1151659.0,1890776.0,2025,11/11/2025 03:41:33 PM,41.856165921,-87.718818302,"(41.856165921, -87.718818302)",23,11,0,2025,1,16,3,-1,2,3,77.63233,-29.943773
